C:\Cambridge\Election2019\School\3 Final\School Transfer Report


*** COUNT 2 ***

   001102-00-00330000227496:  Bowman, Manikka L. --> Fantini, Alfred B.
   001102-00-00330000297059:  Bowman, Manikka L. --> Weinstein, Rachel B.
   001102-00-00330000506990:  Bowman, Manikka L. --> Dawson, Bernette J.
   001102-00-00330000591668:  Bowman, Manikka L. --> Lim, Christopher
   001102-00-00330000648993:  Bowman, Manikka L. --> Kadete, Elechi M.
   001102-00-00330000725544:  Bowman, Manikka L. --> Wilson, Ayesha
   001102-00-00330000762045:  Bowman, Manikka L. --> Lim, Christopher
   001102-00-00330000828390:  Bowman, Manikka L. --> Wilson, Ayesha
   001102-00-00330000886999:  Bowman, Manikka L. --> Kadete, Elechi M.
   001102-00-00330000955741:  Bowman, Manikka L. --> Fantini, Alfred B.
   001102-00-11220000017970:  Bowman, Manikka L. --> Weinstein, David J.
   001102-00-11220000084016:  Bowman, Manikka L. --> Fantini, Alfred B.
   001102-00-11220000147820:  Bowman, Manikka L. --> Wilson, Ayesha
   001102-00-11220000208730:  Bowman, Manikka L. --> Fantini, Alfred B.
   001102-00-11220000262100:  Bowman, Manikka L. --> Fantini, Alfred B.
   001102-00-11220000352674:  Bowman, Manikka L. --> Weinstein, David J.
   001102-00-11220000439627:  Bowman, Manikka L. --> Weinstein, Rachel B.
   001102-00-11220000509417:  Bowman, Manikka L. --> Wilson, Ayesha
   001102-00-11220000609016:  Bowman, Manikka L. --> Rojas Villarreal, Jose Luis
   001102-00-11220000655124:  Bowman, Manikka L. --> Kadete, Elechi M.
   001102-00-11220000707458:  Bowman, Manikka L. --> Wilson, Ayesha
   001102-00-11220000757647:  Bowman, Manikka L. --> Allen, Ruth Ryan
   001102-00-11220000842097:  Bowman, Manikka L. --> Weinstein, David J.
   001102-00-11220000877382:  Bowman, Manikka L. --> Allen, Ruth Ryan
   001102-00-11220000903806:  Bowman, Manikka L. --> Weinstein, Rachel B.
   001102-00-11220000952678:  Bowman, Manikka L. --> Dawson, Bernette J.
   001103-00-00340000033277:  Bowman, Manikka L. --> Wilson, Ayesha
   001103-00-00340000062695:  Bowman, Manikka L. --> Fantini, Alfred B.
   001103-00-00340000114769:  Bowman, Manikka L. --> Fantini, Alfred B.
   001103-00-00340000322664:  Bowman, Manikka L. --> Lim, Christopher
   001103-00-00340000401811:  Bowman, Manikka L. --> Wilson, Ayesha
   001103-00-00340000448604:  Bowman, Manikka L. --> Lim, Christopher
   001103-00-00340000499657:  Bowman, Manikka L. --> Lim, Christopher
   001103-00-00340000549218:  Bowman, Manikka L. --> Rojas Villarreal, Jose Luis
   001103-00-00340000605603:  Bowman, Manikka L. --> Fantini, Alfred B.
   001103-00-00340000660025:  Bowman, Manikka L. --> Lim, Christopher
   001103-00-00340000707262:  Bowman, Manikka L. --> Wilson, Ayesha
   001103-00-00340000751768:  Bowman, Manikka L. --> Dawson, Bernette J.
   001103-00-00340000823499:  Bowman, Manikka L. --> Weinstein, Rachel B.
   001103-00-00340000884862:  Bowman, Manikka L. --> Fantini, Alfred B.
   001103-00-00340000967836:  Bowman, Manikka L. --> Fantini, Alfred B.
   001103-00-00690000181936:  Bowman, Manikka L. --> Wilson, Ayesha
   000801-00-00230000151896:  Bowman, Manikka L. --> Rojas Villarreal, Jose Luis
   000801-00-00230000216107:  Bowman, Manikka L. --> Dawson, Bernette J.
   000801-00-00230000356770:  Bowman, Manikka L. --> Wilson, Ayesha
   000801-00-00230000597640:  Bowman, Manikka L. --> Kadete, Elechi M.
   000801-00-00230000695973:  Bowman, Manikka L. --> Wilson, Ayesha
   000801-00-00230000883492:  Bowman, Manikka L. --> Wilson, Ayesha
   000702-00-00210000047997:  Bowman, Manikka L. --> Fantini, Alfred B.
   000702-00-00210000274138:  Bowman, Manikka L. --> Fantini, Alfred B.
   000702-00-00210000410766:  Bowman, Manikka L. --> Fantini, Alfred B.
   000702-00-00210000812269:  Bowman, Manikka L. --> Wilson, Ayesha
   000702-00-00210000987000:  Bowman, Manikka L. --> Fantini, Alfred B.
   000302-00-00080000121437:  Bowman, Manikka L. --> Weinstein, Rachel B.
   000302-00-00080000313853:  Bowman, Manikka L. --> Weinstein, Rachel B.
   000302-00-00080000460999:  Bowman, Manikka L. --> Fantini, Alfred B.
   000302-00-00080000620151:  Bowman, Manikka L. --> Fantini, Alfred B.
   000302-00-00080000775074:  Bowman, Manikka L. --> Rojas Villarreal, Jose Luis
   000302-00-00080000936293:  Bowman, Manikka L. --> Fantini, Alfred B.
   000201-00-00040000143930:  Bowman, Manikka L. --> Fantini, Alfred B.
   000201-00-00040000286221:  Bowman, Manikka L. --> Kadete, Elechi M.
   000201-00-00040000358958:  Bowman, Manikka L. --> Fantini, Alfred B.
   000201-00-00040000395555:  Bowman, Manikka L. --> Fantini, Alfred B.
   000201-00-00040000716703:  Bowman, Manikka L. --> Weinstein, David J.
   000201-00-00040000811022:  Bowman, Manikka L. --> Kadete, Elechi M.
   000602-00-00180000015898:  Bowman, Manikka L. --> Wilson, Ayesha
   000602-00-00180000105945:  Bowman, Manikka L. --> Weinstein, David J.
   000602-00-00180000290138:  Bowman, Manikka L. --> Kadete, Elechi M.
   000602-00-00180000377397:  Bowman, Manikka L. --> Weinstein, David J.
   000602-00-00180000540906:  Bowman, Manikka L. --> Weinstein, David J.
   000602-00-00180000638194:  Bowman, Manikka L. --> Lim, Christopher
   000602-00-00180000699948:  Bowman, Manikka L. --> Dawson, Bernette J.
   000602-00-00180000799991:  Bowman, Manikka L. --> Wilson, Ayesha
   000602-00-00180000884361:  Bowman, Manikka L. --> Rojas Villarreal, Jose Luis
   000602-00-00180000969173:  Bowman, Manikka L. --> Weinstein, David J.
   000602-00-00520000725240:  Bowman, Manikka L. --> Weinstein, Rachel B.
   000901-00-00260000192518:  Bowman, Manikka L. --> Allen, Ruth Ryan
   000901-00-00260000300540:  Bowman, Manikka L. --> Dawson, Bernette J.
   000901-00-00260000485418:  Bowman, Manikka L. --> Dawson, Bernette J.

   333 transfers.


*** COUNT 3 ***

   000201-00-00040000191597:  Dexter, Emily --> Dawson, Bernette J.
   000201-00-00040000428532:  Dexter, Emily --> Dawson, Bernette J.
   000201-00-00040000763387:  Dexter, Emily --> Wilson, Ayesha
   000201-00-00040000999879:  Dexter, Emily --> Wilson, Ayesha
   000602-00-00180000116277:  Dexter, Emily --> Weinstein, Rachel B.
   000602-00-00180000321014:  Dexter, Emily --> Rojas Villarreal, Jose Luis
   000602-00-00180000444023:  Dexter, Emily --> Lim, Christopher
   000602-00-00180000703690:  Dexter, Emily --> Wilson, Ayesha
   000602-00-00180000830376:  Dexter, Emily --> Allen, Ruth Ryan
   000602-00-00180000933115:  Dexter, Emily --> Weinstein, Rachel B.
   000901-00-00260000069357:  Dexter, Emily --> Rojas Villarreal, Jose Luis
   000901-00-00260000162522:  Dexter, Emily --> Kadete, Elechi M.
   000901-00-00260000308779:  Dexter, Emily --> Dawson, Bernette J.
   000901-00-00260000378497:  Dexter, Emily --> Kadete, Elechi M.
   000901-00-00260000525478:  Dexter, Emily --> Weinstein, Rachel B.
   000901-00-00260000641326:  Dexter, Emily --> Rojas Villarreal, Jose Luis
   000901-00-00260000813631:  Dexter, Emily --> Wilson, Ayesha
   000901-00-00620000538255:  Dexter, Emily --> Wilson, Ayesha
   000901-00-09120000139073:  Dexter, Emily --> Weinstein, Rachel B.
   000901-00-09120000429077:  Dexter, Emily --> Lim, Christopher
   000901-00-09120000499872:  Dexter, Emily --> Rojas Villarreal, Jose Luis
   000901-00-09120000632219:  Dexter, Emily --> Rojas Villarreal, Jose Luis
   000901-00-09120000894282:  Dexter, Emily --> Allen, Ruth Ryan
   000701-00-00200000142841:  Dexter, Emily --> Rojas Villarreal, Jose Luis
   000701-00-00200000372771:  Dexter, Emily --> Allen, Ruth Ryan
   000701-00-00200000467165:  Dexter, Emily --> Rojas Villarreal, Jose Luis
   000701-00-00200000590382:  Dexter, Emily --> Kadete, Elechi M.
   000701-00-00200000686429:  Dexter, Emily --> Wilson, Ayesha
   000701-00-00200000779101:  Dexter, Emily --> Weinstein, Rachel B.
   000701-00-00200000912476:  Dexter, Emily --> Rojas Villarreal, Jose Luis
   000103-00-00030000070313:  Dexter, Emily --> Lim, Christopher
