# Final piles of ballots, sorted by candidate.
# Created Friday, November 15, 2019 6:09 PM


# This file can be used for auditing, or for filling mid-term vacancies
# in Cambridge.  To fill a vacancy, edit the line below that says,
# "# CAMBRIDGE-VACANCY-RECOUNT candidate-code".  Remove the '#', so
# that ChoicePlusr will process the line, and replace "candidate-code"
# with the candidate code for whom the ballots are to be recounted.
# Be sure to rename the file when saving it!  E.g. to "<Your Election
# Title> Recount Input.txt".



# The following lines are the configuration lines necessary for a Cambridge
# style recount.
.COMPLY-WITH CAMBRIDGE
.ELECT 1


# The Candidates:
.CANDIDATE C01, "Allen, Ruth Ryan"
.CANDIDATE C02, "Bowman, Manikka L."
.CANDIDATE C03, "Dawson, Bernette J."
.CANDIDATE C04, "Dexter, Emily"
.CANDIDATE C05, "Fantini, Alfred B."
.CANDIDATE C06, "Kadete, Elechi M."
.CANDIDATE C07, "Lim, Christopher"
.CANDIDATE C08, "Rojas Villarreal, Jose Luis"
.CANDIDATE C09, "Weinstein, David J."
.CANDIDATE C10, "Weinstein, Rachel B."
.CANDIDATE C11, "Wilson, Ayesha"
.CANDIDATE WI01, "Write-In 01"
.CANDIDATE WI02, "Write-In 02"
.CANDIDATE WI03, "Write-In 03"
.CANDIDATE WI04, "Write-In 04"
.CANDIDATE WI05, "Write-In 05"
.CANDIDATE WI06, "Write-In 06"

# The following lines exclude those candidates who
# were elected or excluded in the original election
# from participating in a future runoff.
.EXCLUDE-CANDIDATE C02
.EXCLUDE-CANDIDATE C04
.EXCLUDE-CANDIDATE C05
.EXCLUDE-CANDIDATE C08
.EXCLUDE-CANDIDATE C10
.EXCLUDE-CANDIDATE C11

# ******* The following line must be edited for a Cambridge recount! *******
#.CAMBRIDGE-VACANCY-RECOUNT candidate-code

# Suppose that Joe Smith resigned mid-term, and Karen Jones was elected
# to fill that seat.  But then Karen Jones also resigned!  You can rerun
# the same recount, but specify that Karen Jones is excluded.
#.EXCLUDE-CANDIDATE candidate-code

# This specifies the format for the ballots
.BALLOT-FORMAT-FIELDS BALLOT-ID-ALPHA BALLOT-VALUE RANKINGS-ALPHA

# Ballots for candidate C01 ("Allen, Ruth Ryan")
# (Candidate has no ballots in his/her pile.)

# Ballots for candidate C02 ("Bowman, Manikka L.")
# Candidate has 2,776 ballots in his/her pile.
.FINAL-PILE C02
000701-00-00200000071900, 1) C02,C04,C05,C03,C01
000701-00-00200000077031, 1) C02,C04,C10,C11,C08,C05,C06,C07,C09,C03,C01
000701-00-00200000078615, 1) C02,C04,C05
000701-00-00200000095536, 1) C02,C01,C11,C10,C08
000701-00-00200000100569, 1) C02,C03,C10
000701-00-00200000115863, 1) C02,C04,C11,C03,C07,C08
000701-00-00200000173998, 1) C02,C04,C05,C10,C06,C03,C11
000701-00-00200000176845, 1) C02,C03,C04,C01
000701-00-00200000185623, 1) C02,C11,C08
000701-00-00200000195072, 1) C02,C05,C11
000701-00-00200000199917, 1) C02,C04,C07,C05,C08,C09
000701-00-00200000207185, 1) C02,C09,C11,C04,C06,C03
000701-00-00200000208526, 1) C02
000701-00-00200000218176, 1) C02,C10,C11,C08
000701-00-00200000258052, 1) C02,C04,C05,C07
000701-00-00200000259477, 1) C02,C10,C09,C04,C05,C03,C01
000701-00-00200000275843, 1) C02,C03,C09,C11,C08,C04,C07,C06,C05,C10,C01
000701-00-00200000282273, 1) C02,C10,C04,C11
000701-00-00200000344590, 1) C02,C04,C06,C05,C09,C10,C03
000701-00-00200000349101, 1) C02,C04,C05,C07,C08
000701-00-00200000378186, 1) C02,C03,C04,C05,C07,C06,C09,C10,C08,C01,C11
000701-00-00200000383200, 1) C02,C03,C06,C11,C08,C04,C07,C05,C09,C10,C01
000701-00-00200000408537, 1) C02,C04,C05
000701-00-00200000438569, 1) C02,C05,C04,C06,C08,C07,C11,C10,C09,C01,C03
000701-00-00200000461575, 1) C02,C04,C01,C11,C10,C06,C03,C05,C07,C08,C09
000701-00-00200000475203, 1) C02,C03,C05,C06
000701-00-00200000482183, 1) C02,C07,C08,C06,C11
000701-00-00200000524114, 1) C02,C11,C04,C03,C06,C09
000701-00-00200000546201, 1) C02
000701-00-00200000550607, 1) C02,C04,C08,C01,C07,C06
000701-00-00200000564854, 1) C02,C04,C05
000701-00-00200000570328, 1) C02,C06,C08,C10,C07
000701-00-00200000595890, 1) C02,C10,C03,C04,C09,C05
000701-00-00200000601149, 1) C02,C11
000701-00-00200000605434, 1) C02,C03,C04,C05,C08,C10,C09,C11,C01,C06,C07
000701-00-00200000625979, 1) C02,C05,C10,C11
000701-00-00200000639238, 1) C02,C10,C11
000701-00-00200000663236, 1) C02,C04,C05,C10,C11
000701-00-00200000683325, 1) C02,C04,C08
000701-00-00200000690107, 1) C02,C04,C05,C09
000701-00-00200000699214, 1) C02,C03,C11,C10,C09,C08,C04,C01
000701-00-00200000713651, 1) C02,C03,C04,C05,C07,C06,C09,C10,C08,C01,C11
000701-00-00200000717478, 1) C02,C08
000701-00-00200000723368, 1) C02,C04,C11,C06,C03,C10,C07,C01,C09
000701-00-00200000737733, 1) C02,C11,C10,C01,C03,C04,C08,C09,C07,C06,C05
000701-00-00200000749599, 1) C02,C03,C04,C05
000701-00-00200000796278, 1) C02,C04,C05
000701-00-00200000823116, 1) C02
000701-00-00200000828596, 1) C02,C06,C10,C05,C04,C11,C09,C08,C07,C01,C03
000701-00-00200000838779, 1) C02,C07,C11,C06,C01
000701-00-00200000844917, 1) C02,C04
000701-00-00200000850224, 1) C02,C11,C03,C04
000701-00-00200000850746, 1) C02,C04,C03,C05,C08
000701-00-00200000859059, 1) C02,C10,C06,C08,C03,C11
000701-00-00200000866908, 1) C02,C03,C04,C05
000701-00-00200000883005, 1) C02,C10
000701-00-00200000884528, 1) C02,C01,C06,C04,C08
000701-00-00200000885627, 1) C02,C04,C05,C08
000701-00-00200000886240, 1) C02,C04,C05
000701-00-00200000895331, 1) C02,C04,C09,C05
000701-00-00200000930391, 1) C02,C11,C08
000701-00-00200000945698, 1) C02,C04,C07,C05,C09
000701-00-00200000954043, 1) C02,C04,C05
000701-00-00200000973805, 1) C02,C10,C05
000701-00-00200000979660, 1) C02,C04,C05,C11
000701-00-00540000308666, 1) C02,C04,C10,C07,C11,C08,C06,C01
000701-00-00540000520653, 1) C02,C06
000701-00-00540000731129, 1) C02,C04,C05
000701-00-00540000854177, 1) C02,C03,C09
000701-00-00540000952797, 1) C02,C11,C10,C03,C01,WI01
000103-00-00030000081181, 1) C02,C05,C06,C11,C08
000103-00-00030000096488, 1) C02,C04,C05
000103-00-00030000097439, 1) C02,C04,C05
000103-00-00030000118245, 1) C02,C04,C05,C11
000103-00-00030000120554, 1) C02,C04,C05
000103-00-00030000124229, 1) C02
000103-00-00030000135325, 1) C02,C01,C04,C07,C08,C09,C10,C11,C06,C03,C05
000103-00-00030000137849, 1) C02,C05,C03,C11,C10,C08
